Date,Temperature Change
Jan 80,0.287
Feb 80,0.482
Mar 80,0.131
Apr 80,0.519
May 80,0.518
Jun 80,0.187
Jul 80,0.479
Aug 80,0.409
Sep 80,0.325
Oct 80,0.221
Nov 80,0.637
Dec 80,0.277
Jan 81,1.141
Feb 81,0.839
Mar 81,0.981
Apr 81,0.539
May 81,0.253
Jun 81,0.369
Jul 81,0.453
Aug 81,0.750
Sep 81,0.201
Oct 81,0.043
Nov 81,0.195
Dec 81,0.792
Jan 82,-0.106
Feb 82,0.122
Mar 82,-0.351
Apr 82,0.078
May 82,0.096
Jun 82,-0.112
Jul 82,0.291
Aug 82,0.007
Sep 82,0.043
Oct 82,-0.095
Nov 82,-0.073
Dec 82,0.612
Jan 83,0.780
Feb 83,0.648
Mar 83,0.455
Apr 83,0.299
May 83,0.492
Jun 83,0.089
Jul 83,0.125
Aug 83,0.515
Sep 83,0.697
Oct 83,0.162
Nov 83,0.712
Dec 83,0.117
Jan 84,0.276
Feb 84,-0.104
Mar 84,0.447
Apr 84,0.030
May 84,0.753
Jun 84,-0.037
Jul 84,0.154
Aug 84,0.157
Sep 84,0.012
Oct 84,0.050
Nov 84,-0.227
Dec 84,-0.571
Jan 85,0.371
Feb 85,-0.481
Mar 85,0.214
Apr 85,0.222
May 85,0.178
Jun 85,0.195
Jul 85,-0.275
Aug 85,0.279
Sep 85,-0.058
Oct 85,0.018
Nov 85,-0.075
Dec 85,0.098
Jan 86,0.654
Feb 86,0.823
Mar 86,0.570
Apr 86,0.463
May 86,0.352
Jun 86,0.023
Jul 86,0.040
Aug 86,0.206
Sep 86,-0.149
Oct 86,0.016
Nov 86,-0.096
Dec 86,0.064
Jan 87,0.494
Feb 87,0.978
Mar 87,0.059
Apr 87,0.207
May 87,0.273
Jun 87,0.545
Jul 87,0.629
Aug 87,0.127
Sep 87,0.481
Oct 87,0.301
Nov 87,0.011
Dec 87,0.770
Jan 88,0.817
Feb 88,0.255
Mar 88,0.708
Apr 88,0.627
May 88,0.626
Jun 88,0.706
Jul 88,0.501
Aug 88,0.748
Sep 88,0.713
Oct 88,0.678
Nov 88,0.268
Dec 88,0.668
Jan 89,0.066
Feb 89,0.457
Mar 89,0.564
Apr 89,0.327
May 89,0.037
Jun 89,0.091
Jul 89,0.362
Aug 89,0.362
Sep 89,0.421
Oct 89,0.463
Nov 89,0.168
Dec 89,0.747
Jan 90,0.618
Feb 90,0.512
Mar 90,1.507
Apr 90,0.784
May 90,0.584
Jun 90,0.511
Jul 90,0.509
Aug 90,0.332
Sep 90,0.223
Oct 90,0.581
Nov 90,0.882
Dec 90,0.711
Jan 91,0.599
Feb 91,0.906
Mar 91,0.340
Apr 91,0.870
May 91,0.372
Jun 91,0.909
Jul 91,0.740
Aug 91,0.536
Sep 91,0.675
Oct 91,0.449
Nov 91,0.392
Dec 91,0.365
Jan 92,0.927
Feb 92,0.699
Mar 92,0.691
Apr 92,0.181
May 92,0.289
Jun 92,0.200
Jul 92,-0.121
Aug 92,-0.027
Sep 92,-0.345
Oct 92,0.057
Nov 92,-0.136
Dec 92,0.378
Jan 93,0.651
Feb 93,0.617
Mar 93,0.697
Apr 93,0.304
May 93,0.242
Jun 93,0.156
Jul 93,0.299
Aug 93,0.053
Sep 93,-0.045
Oct 93,0.321
Nov 93,-0.280
Dec 93,0.348
Jan 94,0.406
Feb 94,-0.340
Mar 94,0.511
Apr 94,0.634
May 94,0.443
Jun 94,0.777
Jul 94,0.431
Aug 94,0.167
Sep 94,0.526
Oct 94,0.697
Nov 94,0.775
Dec 94,0.380
Jan 95,0.917
Feb 95,1.495
Mar 95,0.740
Apr 95,0.611
May 95,0.342
Jun 95,0.790
Jul 95,0.841
Aug 95,0.845
Sep 95,0.577
Oct 95,0.791
Nov 95,0.736
Dec 95,0.393
Jan 96,0.242
Feb 96,0.819
Mar 96,0.333
Apr 96,0.288
May 96,0.349
Jun 96,0.292
Jul 96,0.577
Aug 96,0.808
Sep 96,0.334
Oct 96,0.207
Nov 96,0.497
Dec 96,0.597
Jan 97,0.511
Feb 97,0.591
Mar 97,0.723
Apr 97,0.473
May 97,0.334
Jun 97,0.755
Jul 97,0.250
Aug 97,0.435
Sep 97,0.670
Oct 97,0.804
Nov 97,0.826
Dec 97,0.704
Jan 98,0.731
Feb 98,1.662
Mar 98,0.770
Apr 98,0.977
May 98,1.034
Jun 98,1.155
Jul 98,1.067
Aug 98,1.094
Sep 98,0.669
Oct 98,0.640
Nov 98,0.381
Dec 98,0.977
Jan 99,0.934
Feb 99,1.504
Mar 99,0.290
Apr 99,0.411
May 99,0.436
Jun 99,0.659
Jul 99,0.567
Aug 99,0.559
Sep 99,0.721
Oct 99,0.668
Nov 99,0.575
Dec 99,0.835
Jan 00,0.317
Feb 00,1.007
Mar 00,0.964
Apr 00,1.158
May 00,0.621
Jun 00,0.673
Jul 00,0.571
Aug 00,0.737
Sep 00,0.579
Oct 00,0.140
Nov 00,0.239
Dec 00,0.140
Jan 01,0.706
Feb 01,0.550
Mar 01,0.999
Apr 01,0.832
May 01,1.030
Jun 01,0.711
Jul 01,0.863
Aug 01,0.628
Sep 01,0.720
Oct 01,0.565
Nov 01,1.262
Dec 01,0.776
Jan 02,1.382
Feb 02,1.511
Mar 02,1.536
Apr 02,0.816
May 02,1.015
Jun 02,0.713
Jul 02,1.062
Aug 02,0.771
Sep 02,0.971
Oct 02,0.676
Nov 02,0.876
Dec 02,0.338
Jan 03,1.346
Feb 03,0.932
Mar 03,0.825
Apr 03,0.767
May 03,0.915
Jun 03,0.631
Jul 03,0.721
Aug 03,0.867
Sep 03,0.898
Oct 03,1.077
Nov 03,0.645
Dec 03,1.417
Jan 04,0.903
Feb 04,1.306
Mar 04,1.100
Apr 04,0.851
May 04,0.301
Jun 04,0.525
Jul 04,0.034
Aug 04,0.398
Sep 04,0.625
Oct 04,0.854
Nov 04,1.286
Dec 04,0.545
Jan 05,1.161
Feb 05,0.770
Mar 05,1.332
Apr 05,1.198
May 05,0.987
Jun 05,1.096
Jul 05,0.921
Aug 05,0.734
Sep 05,1.233
Oct 05,1.327
Nov 05,1.393
Dec 05,1.148
Jan 06,0.648
Feb 06,1.239
Mar 06,1.101
Apr 06,0.654
May 06,0.519
Jun 06,1.091
Jul 06,0.735
Aug 06,1.131
Sep 06,0.912
Oct 06,1.024
Nov 06,0.908
Dec 06,1.286
Jan 07,1.949
Feb 07,1.055
Mar 07,1.171
Apr 07,1.399
May 07,1.284
Jun 07,0.980
Jul 07,0.962
Aug 07,0.962
Sep 07,0.966
Oct 07,1.014
Nov 07,1.051
Dec 07,0.803
Jan 08,0.239
Feb 08,0.437
Mar 08,1.645
Apr 08,0.900
May 08,0.797
Jun 08,0.763
Jul 08,0.891
Aug 08,0.549
Sep 08,0.813
Oct 08,1.141
Nov 08,1.207
Dec 08,0.676
Jan 09,1.049
Feb 09,0.934
Mar 09,0.871
Apr 09,0.934
May 09,0.916
Jun 09,0.890
Jul 09,1.029
Aug 09,0.912
Sep 09,1.183
Oct 09,0.823
Nov 09,1.022
Dec 09,0.587
Jan 10,1.056
Feb 10,1.203
Mar 10,1.477
Apr 10,1.298
May 10,1.187
Jun 10,1.019
Jul 10,0.911
Aug 10,0.989
Sep 10,0.925
Oct 10,1.148
Nov 10,1.448
Dec 10,0.550
Jan 11,0.654
Feb 11,0.533
Mar 11,0.853
Apr 11,1.088
May 11,0.725
Jun 11,1.000
Jul 11,1.253
Aug 11,1.291
Sep 11,0.929
Oct 11,1.072
Nov 11,0.779
Dec 11,0.922
Jan 12,0.500
Feb 12,0.413
Mar 12,0.764
Apr 12,1.254
May 12,1.334
Jun 12,1.101
Jul 12,0.825
Aug 12,0.913
Sep 12,1.011
Oct 12,1.095
Nov 12,1.075
Dec 12,0.326
Jan 13,1.050
Feb 13,0.983
Mar 13,0.984
Apr 13,0.635
May 13,0.962
Jun 13,1.191
Jul 13,0.729
Aug 13,0.993
Sep 13,1.177
Oct 13,0.951
Nov 13,1.363
Dec 13,0.963
Jan 14,1.091
Feb 14,0.298
Mar 14,1.124
Apr 14,1.195
May 14,1.301
Jun 14,0.928
Jul 14,0.609
Aug 14,1.110
Sep 14,1.116
Oct 14,1.049
Nov 14,0.693
Dec 14,1.134
Jan 15,1.238
Feb 15,1.448
Mar 15,1.502
Apr 15,0.928
May 15,1.111
Jun 15,1.147
Jul 15,0.824
Aug 15,0.991
Sep 15,1.004
Oct 15,1.468
Nov 15,1.385
Dec 15,1.748
Jan 16,1.533
Feb 16,2.162
Mar 16,2.270
Apr 16,1.764
May 16,1.398
Jun 16,1.008
Jul 16,1.042
Aug 16,1.526
Sep 16,1.217
Oct 16,0.955
Nov 16,1.175
Dec 16,1.199
Jan 17,1.485
Feb 17,1.728
Mar 17,1.927
Apr 17,1.249
May 17,1.404
Jun 17,0.896
Jul 17,1.078
Aug 17,1.152
Sep 17,1.057
Oct 17,1.246
Nov 17,1.110
Dec 17,1.405
Jan 18,1.099
Feb 18,1.082
Mar 18,1.463
Apr 18,1.296
May 18,1.214
Jun 18,1.123
Jul 18,1.226
Aug 18,1.060
Sep 18,0.945
Oct 18,1.315
Nov 18,0.870
Dec 18,1.144
Jan 19,1.356
Feb 19,1.219
Mar 19,1.892
Apr 19,1.491
May 19,1.125
Jun 19,1.157
Jul 19,1.233
Aug 19,1.178
Sep 19,1.287
Oct 19,1.434
Nov 19,1.257
Dec 19,1.656
Jan 20,1.952
Feb 20,2.085
Mar 20,1.830
Apr 20,1.636
May 20,1.421
Jun 20,1.325
Jul 20,1.261
Aug 20,1.193
Sep 20,1.516
Oct 20,1.159
Nov 20,1.703
Dec 20,1.064